cell_type,cells,dropped,kept,pct_dropped
pericytes,6355,63,6292,0.991345397324941
Lumsec-major,1417,13,1404,0.9174311926605505
basal,3317,17,3300,0.5125113053964425
plasma_IgG,29664,68,29596,0.22923408845738943
CD4-activated,13634,23,13611,0.16869590729059702
plasma_IgA,12568,19,12549,0.1511775938892425
Lumsec-KIT,1344,2,1342,0.1488095238095238
Lymph-major,1018,1,1017,0.09823182711198428
vsmc,6789,5,6784,0.07364854912358226
Mast,1780,1,1779,0.056179775280898875
Fibro-matrix,48181,24,48157,0.04981216662169735
LummHR-major,18401,7,18394,0.03804141079289169
Lumsec-prol,24647,7,24640,0.028401022436807723
Macro-lipo,92159,19,92140,0.020616543148254646
Vas-venous,15869,2,15867,0.012603188606717499
cDC2,8998,1,8997,0.011113580795732384
Vas-capillary,9571,1,9570,0.010448229025180233
CD8-Tem,67665,3,67662,0.004433606739082243
LummHR-SCGB,6000,0,6000,0.0
Lumsec-HLA,97,0,97,0.0
Lumsec-basal,17729,0,17729,0.0
Fibro-prematrix,9844,0,9844,0.0
CD4-naive,17344,0,17344,0.0
CD8-Trm,2098,0,2098,0.0
CD4-Th,4060,0,4060,0.0
CD4-Treg,53361,0,53361,0.0
CD4-Th-like,10054,0,10054,0.0
LummHR-active,1088,0,1088,0.0
GD,2129,0,2129,0.0
Lumsec-myo,1412,0,1412,0.0
Macro-m1,4997,0,4997,0.0
Macro-IFN,22420,0,22420,0.0
NKT,5687,0,5687,0.0
NK-ILCs,16952,0,16952,0.0
NK,7713,0,7713,0.0
Mono-non-classical,1004,0,1004,0.0
Mono-classical,12035,0,12035,0.0
Macro-m2-CXCL,1045,0,1045,0.0
Macro-m2,7439,0,7439,0.0
Macro-m1-CCL,3562,0,3562,0.0
cDC1,2105,0,2105,0.0
bmem_switched,8177,0,8177,0.0
b_naive,11665,0,11665,0.0
T_prol,9963,0,9963,0.0
Vas-arterial,3531,0,3531,0.0
pDC,6944,0,6944,0.0
mDC,2150,0,2150,0.0
mye-prol,3711,0,3711,0.0
