cohort,cells,dropped,epi_before,epi_after,pct_dropped,epi_pct_lost
Patient66,5065,47,214,193,0.9279368213228035,9.813084112149529
Patient03,11820,57,234,228,0.48223350253807107,2.564102564102566
Patient45,10980,35,2434,2420,0.31876138433515483,0.5751848808545623
Patient63,22284,11,7771,7766,0.04936277149524322,0.0643417835542448
Patient02,25471,8,209,209,0.03140826822661066,0.0
Patient01,23629,3,542,542,0.01269626306657074,0.0
Patient07,8358,0,257,257,0.0,0.0
Patient04,7690,0,192,192,0.0,0.0
Patient05,15006,5,376,376,0.03332000533120085,0.0
Patient06,15981,0,14,14,0.0,0.0
Patient12,27781,8,241,241,0.028796659587487852,0.0
Patient15,7863,0,549,549,0.0,0.0
Patient16,39443,2,8028,8028,0.005070608219455924,0.0
Patient17,16840,1,3038,3038,0.0059382422802850355,0.0
Patient18,29796,14,1148,1148,0.0469861726406229,0.0
Patient09,35100,3,471,471,0.008547008547008548,0.0
Patient10,21495,1,1649,1649,0.0046522447080716445,0.0
Patient11,12029,10,1193,1193,0.08313242996092776,0.0
Patient23,9305,2,176,176,0.021493820526598602,0.0
Patient20,11410,1,218,218,0.008764241893076249,0.0
Patient19,24386,6,1399,1399,0.024604281144919218,0.0
Patient26,17594,0,5815,5815,0.0,0.0
Patient42,14791,5,619,619,0.033804340477317285,0.0
Patient43,35804,4,5394,5394,0.011171936096525528,0.0
Patient39,9580,0,1633,1633,0.0,0.0
Patient30,7429,0,87,87,0.0,0.0
Patient47,21042,9,3922,3922,0.0427715996578272,0.0
Patient46,16541,2,2950,2950,0.012091167402212683,0.0
Patient48,5952,3,1192,1192,0.05040322580645161,0.0
Patient52,19077,8,9243,9243,0.04193531477695654,0.0
Patient56,33745,14,6745,6745,0.04148762779671063,0.0
Patient53,39457,11,5488,5488,0.027878449958182325,0.0
Patient57,14791,2,1509,1509,0.013521736190926914,0.0
Patient64,2158,4,502,502,0.18535681186283595,0.0
