sample,rho,method,tfidf_min,adjust_method,n_cells,n_genes,umis_before,umis_after,frac_removed,n_deltas,soupx_version
P52_B_P,0.053,autoEstCont,1,subtraction,4293,30869,10763497,10192966,0.0530061001549961,491945,1.6.2
P43_B_N,0.049,autoEstCont,1,subtraction,12807,30869,26830700,25517161,0.0489565684085767,1182702,1.6.2
P52_A_N,0.049,autoEstCont,1,subtraction,7175,30869,18029258,17147107,0.0489288577488879,781075,1.6.2
P02_B_P,0.036,autoEstCont,1,subtraction,10714,30869,40608700,39147374,0.0359855400443747,1222542,1.6.2
P16_A_P,0.035,autoEstCont,1,subtraction,4536,30869,13232415,12769852,0.034956808715567,416491,1.6.2
P45_C_P,0.032,autoEstCont,1,subtraction,141,30869,213175,206229,0.0325835581095344,6029,1.6.2
P01_A_P,0.028,autoEstCont,1,subtraction,9648,30869,25423847,24711748,0.0280090971283771,649108,1.6.2
P46_B_N,0.026,autoEstCont,1,subtraction,3314,30869,14787968,14403911,0.0259709109459799,341281,1.6.2
P19_C_P,0.025,autoEstCont,1,subtraction,13614,30869,66491373,64828922,0.025002506716172,1423680,1.6.2
P43_B_P,0.024,autoEstCont,1,subtraction,16278,30869,30343672,29617006,0.0239478597053119,714520,1.6.2
P66_C_P,0.024,autoEstCont,1,subtraction,149,30869,361544,352876,0.0239749518730777,7895,1.6.2
P09_A_P,0.023,autoEstCont,1,subtraction,17850,30869,82120625,80231251,0.0230073017588456,1618013,1.6.2
P66_A_N,0.023,autoEstCont,1,subtraction,138,30869,62835,61427,0.0224078936898226,1303,1.6.2
P23_A_P,0.022,autoEstCont,1,subtraction,7886,30869,53893561,52708201,0.021994464236646,928620,1.6.2
P53_B_N,0.02,autoEstCont,1,subtraction,9917,30869,14591542,14299766,0.0199962416583525,271352,1.6.2
P17_C_P,0.02,autoEstCont,1,subtraction,7313,30869,22390857,21942786,0.0200113376634043,438228,1.6.2
P10_C_P,0.02,autoEstCont,1,subtraction,8776,30869,52920574,51862029,0.0200025230262998,929736,1.6.2
P12_C_P,0.02,autoEstCont,1,subtraction,13044,30869,56613810,55481757,0.0199960574990448,1002866,1.6.2
P18_A_P,0.019,autoEstCont,1,subtraction,9729,30869,32018045,31409134,0.0190177445250014,545458,1.6.2
P56_C_N,0.019,autoEstCont,1,subtraction,5293,30869,26410805,25908735,0.0190100226024917,466492,1.6.2
P30_B_P,0.019,autoEstCont,1,subtraction,7262,30869,45972316,45099690,0.0189815540291683,758074,1.6.2
P45_A_N,0.018,autoEstCont,1,subtraction,2495,30869,19859900,19502184,0.0180119738770084,326816,1.6.2
P52_C_N,0.018,autoEstCont,1,subtraction,1018,30869,6611002,6492112,0.0179836581504589,108120,1.6.2
P43_C_N,0.017,autoEstCont,1,subtraction,3011,30869,7332965,7208352,0.0169935353571168,121223,1.6.2
P15_A_P,0.017,autoEstCont,1,subtraction,629,30869,1125466,1106547,0.0168099258440504,17922,1.6.2
P42_B_P,0.017,autoEstCont,1,subtraction,1501,30869,2541296,2498111,0.0169932979078391,40531,1.6.2
P48_A_N,0.017,autoEstCont,1,subtraction,980,30869,704687,692742,0.0169507880803818,10397,1.6.2
